,rule,support,confidence,Lift
0,['6660000']->['72'],0.06,1,1
1,['78']->['7800000'],0.05,0.641025641,0.641025641
2,['ITAGBN7509']->['ITGHTLPG7513'],0.054,0.870967742,0.870967742
3,['ITAGNCSC7512']->['ITARARPG7513'],0.056,0.636363636,0.636363636
4,['ITAGNCSC7512']->['ITBRGM7513'],0.05,0.568181818,0.568181818
5,['ITAGNCSC7512']->['ITDLBR7510'],0.05,0.568181818,0.568181818
6,['ITAGNCSC7512']->['ITGHTLPG7513'],0.05,0.568181818,0.568181818
7,['ITAGNCSC7512']->['ITMERB7511'],0.052,0.590909091,0.590909091
8,['ITAGNCSC7512']->['ITPNVM7513'],0.05,0.568181818,0.568181818
9,['ITAGNCSC7512']->['ITSGCEVN7511'],0.056,0.636363636,0.636363636
10,['ITAGNCSC7512']->['ITSNCO7513'],0.062,0.704545455,0.704545455
11,['ITARARPG7513']->['ITARBAL7512'],0.054,0.509433962,0.509433962
12,['ITARARPG7513']->['ITARGA7513'],0.054,0.509433962,0.509433962
13,['ITARARPG7513']->['ITBRGM7513'],0.056,0.528301887,0.528301887
14,['ITARARPG7513']->['ITCAPT7512'],0.058,0.547169811,0.547169811
15,['ITARARPG7513']->['ITCASCH7513'],0.052,0.490566038,0.490566038
16,['ITARARPG7513']->['ITCASS7510'],0.066,0.622641509,0.622641509
17,['ITARARPG7513']->['ITCLROS7512'],0.054,0.509433962,0.509433962
18,['ITARARPG7513']->['ITCMMA7512'],0.066,0.622641509,0.622641509
19,['ITARARPG7513']->['ITDLNE7512'],0.058,0.547169811,0.547169811
20,['ITARARPG7513']->['ITFRASU7511'],0.056,0.528301887,0.528301887
21,['ITARARPG7513']->['ITGHLHPG7513'],0.07,0.660377358,0.660377358
22,['ITARARPG7513']->['ITGHLHPN7512'],0.074,0.698113208,0.698113208
23,['ITARARPG7513']->['ITGHTLPG7513'],0.076,0.716981132,0.716981132
24,['ITARARPG7513']->['ITLALCH7512'],0.054,0.509433962,0.509433962
25,['ITARARPG7513']->['ITLUIPG7513'],0.056,0.528301887,0.528301887
26,['ITARARPG7513']->['ITMERB7511'],0.076,0.716981132,0.716981132
27,['ITARARPG7513']->['ITPNVM7513'],0.05,0.471698113,0.471698113
28,['ITARARPG7513']->['ITPRBATO7510'],0.054,0.509433962,0.509433962
29,['ITARARPG7513']->['ITPUCP7513'],0.054,0.509433962,0.509433962
30,['ITARARPG7513']->['ITPUND7513'],0.06,0.566037736,0.566037736
31,['ITARARPG7513']->['ITSGCEVN7511'],0.062,0.58490566,0.58490566
32,['ITARARPG7513']->['ITSNCO7513'],0.06,0.566037736,0.566037736
33,['ITARARPG7513']->['ITSTVALP7513'],0.05,0.471698113,0.471698113
34,['ITARARPG7513']->['ITTDFG7513'],0.066,0.622641509,0.622641509
35,['ITARARPG7513']->['ITTDTA0875'],0.05,0.471698113,0.471698113
36,['ITARARPG7514']->['ITGHTLPG7514'],0.05,0.862068966,0.862068966
37,['ITARARPG7515']->['ITGHLHPG7515'],0.052,0.722222222,0.722222222
38,['ITARARPG7515']->['ITGHLHPN7514'],0.05,0.694444444,0.694444444
39,['ITARARSG7513']->['ITGHLHPG7514'],0.052,0.472727273,0.472727273
40,['ITARARSG7513']->['ITGHTLPG7514'],0.05,0.454545455,0.454545455
41,['ITARARSG7513']->['ITLALCH7512'],0.052,0.472727273,0.472727273
42,['ITARARSG7513']->['ITMERB7511'],0.052,0.472727273,0.472727273
43,['ITARARSG7513']->['ITSGCEVN7511'],0.056,0.509090909,0.509090909
44,['ITARARSG7513']->['ITSNCO7513'],0.076,0.690909091,0.690909091
45,['ITARARSG7513']->['ITTDAG7512'],0.068,0.618181818,0.618181818
46,['ITARBAL7512']->['ITCAPT7512'],0.05,0.735294118,0.735294118
47,['ITARBAL7512']->['ITGHLHPN7512'],0.056,0.823529412,0.823529412
48,['ITARBAL7512']->['ITLUIPG7513'],0.05,0.735294118,0.735294118
49,['ITARBAL7512']->['ITMERB7511'],0.054,0.794117647,0.794117647
50,['ITARBAL7512']->['ITTDFG7513'],0.05,0.735294118,0.735294118
51,['ITARCTSC7513']->['ITGHLHPG7513'],0.05,0.806451613,0.806451613
52,['ITARGA7513']->['ITCASS7510'],0.062,0.794871795,0.794871795
53,['ITARGA7513']->['ITGHLHPG7513'],0.052,0.666666667,0.666666667
54,['ITARGA7513']->['ITGHTLPG7513'],0.056,0.717948718,0.717948718
55,['ITARGA7513']->['ITMERB7511'],0.058,0.743589744,0.743589744
56,['ITBRGM7513']->['ITCAPT7512'],0.052,0.577777778,0.577777778
57,['ITBRGM7513']->['ITCASS7510'],0.05,0.555555556,0.555555556
58,['ITBRGM7513']->['ITCLROS7512'],0.052,0.577777778,0.577777778
59,['ITBRGM7513']->['ITDLBR7510'],0.054,0.6,0.6
60,['ITBRGM7513']->['ITDLNE7512'],0.054,0.6,0.6
61,['ITBRGM7513']->['ITGHLHPG7513'],0.052,0.577777778,0.577777778
62,['ITBRGM7513']->['ITGHLHPN7512'],0.054,0.6,0.6
63,['ITBRGM7513']->['ITGHTLPG7513'],0.06,0.666666667,0.666666667
64,['ITBRGM7513']->['ITLALCH7512'],0.052,0.577777778,0.577777778
65,['ITBRGM7513']->['ITLUIPG7513'],0.052,0.577777778,0.577777778
66,['ITBRGM7513']->['ITMERB7511'],0.06,0.666666667,0.666666667
67,['ITBRGM7513']->['ITPNVM7513'],0.05,0.555555556,0.555555556
68,['ITBRGM7513']->['ITPRBATO7510'],0.05,0.555555556,0.555555556
69,['ITBRGM7513']->['ITSGCEVN7511'],0.054,0.6,0.6
70,['ITBRGM7513']->['ITTDFG7513'],0.056,0.622222222,0.622222222
71,['ITCAPT7511']->['ITDLNE1175'],0.05,0.675675676,0.675675676
72,['ITCAPT7512']->['ITCLROS7512'],0.05,0.595238095,0.595238095
73,['ITCAPT7512']->['ITDLBR7510'],0.05,0.595238095,0.595238095
74,['ITCAPT7512']->['ITDLNE7512'],0.06,0.714285714,0.714285714
75,['ITCAPT7512']->['ITFRASU7511'],0.052,0.619047619,0.619047619
76,['ITCAPT7512']->['ITGHLHPN7512'],0.056,0.666666667,0.666666667
77,['ITCAPT7512']->['ITGHTLCB7512'],0.052,0.619047619,0.619047619
78,['ITCAPT7512']->['ITGHTLPG7513'],0.058,0.69047619,0.69047619
79,['ITCAPT7512']->['ITLALCH7512'],0.054,0.642857143,0.642857143
80,['ITCAPT7512']->['ITLUIPG7513'],0.062,0.738095238,0.738095238
81,['ITCAPT7512']->['ITMERB7511'],0.05,0.595238095,0.595238095
82,['ITCAPT7512']->['ITPNVM7513'],0.056,0.666666667,0.666666667
83,['ITCAPT7512']->['ITSGCEVN7511'],0.052,0.619047619,0.619047619
84,['ITCAPT7512']->['ITSNCO7513'],0.058,0.69047619,0.69047619
85,['ITCAPT7512']->['ITSTVALP7513'],0.052,0.619047619,0.619047619
86,['ITCAPT7512']->['ITTDFG7513'],0.056,0.666666667,0.666666667
87,['ITCAPT7513']->['ITDLNE7513'],0.058,0.69047619,0.69047619
88,['ITCAPT7513']->['ITGHLHPG7514'],0.05,0.595238095,0.595238095
89,['ITCAPT7513']->['ITGHTLPG7514'],0.052,0.619047619,0.619047619
90,['ITCASCH7513']->['ITGHLHPG7513'],0.05,0.806451613,0.806451613
91,['ITCASCH7513']->['ITGHLHPN7512'],0.052,0.838709677,0.838709677
92,['ITCASCH7513']->['ITGHTLPG7513'],0.052,0.838709677,0.838709677
93,['ITCASCH7513']->['ITMERB7511'],0.05,0.806451613,0.806451613
94,['ITCASCH7513']->['ITTDFG7513'],0.052,0.838709677,0.838709677
95,['ITCASCH7514']->['ITGHLHPG7514'],0.05,0.892857143,0.892857143
96,['ITCASCH7515']->['ITGHLHPG7515'],0.05,0.694444444,0.694444444
97,['ITCASS7510']->['ITCMMA7512'],0.052,0.577777778,0.577777778
98,['ITCASS7510']->['ITGHLHPG7513'],0.06,0.666666667,0.666666667
99,['ITCASS7510']->['ITGHLHPN7512'],0.054,0.6,0.6
100,['ITCASS7510']->['ITGHTLPG7513'],0.072,0.8,0.8
101,['ITCASS7510']->['ITMERB7511'],0.07,0.777777778,0.777777778
102,['ITCASS7510']->['ITTDFG7513'],0.05,0.555555556,0.555555556
103,['ITCLROS7512']->['ITDLBR7510'],0.054,0.574468085,0.574468085
104,['ITCLROS7512']->['ITDLNE7512'],0.054,0.574468085,0.574468085
105,['ITCLROS7512']->['ITGHLHPN7512'],0.056,0.595744681,0.595744681
106,['ITCLROS7512']->['ITGHTLPG7513'],0.056,0.595744681,0.595744681
107,['ITCLROS7512']->['ITLALCH7512'],0.054,0.574468085,0.574468085
108,['ITCLROS7512']->['ITMERB7511'],0.062,0.659574468,0.659574468
109,['ITCLROS7512']->['ITPNVM7513'],0.05,0.531914894,0.531914894
110,['ITCLROS7512']->['ITSGCEVN7511'],0.056,0.595744681,0.595744681
111,['ITCLROS7512']->['ITSNCO7513'],0.054,0.574468085,0.574468085
112,['ITCLROS7512']->['ITSTVALP7513'],0.054,0.574468085,0.574468085
113,['ITCMMA7512']->['ITGHLHPG7513'],0.058,0.743589744,0.743589744
114,['ITCMMA7512']->['ITGHLHPN7512'],0.056,0.717948718,0.717948718
115,['ITCMMA7512']->['ITGHTLPG7513'],0.068,0.871794872,0.871794872
116,['ITCMMA7512']->['ITMERB7511'],0.06,0.769230769,0.769230769
117,['ITCMMA7512']->['ITSGCEVN7511'],0.052,0.666666667,0.666666667
118,['ITCMMA7512']->['ITTDFG7513'],0.052,0.666666667,0.666666667
119,['ITCMMA7514']->['ITGHLHPG7515'],0.05,0.78125,0.78125
120,['ITDLBR7510']->['ITDLNE7512'],0.058,0.591836735,0.591836735
121,['ITDLBR7510']->['ITGHTLPG7513'],0.05,0.510204082,0.510204082
122,['ITDLBR7510']->['ITLALCH7512'],0.05,0.510204082,0.510204082
