,No_,Name,Address,City,Customer Posting Group,Salesperson Code,Shipment Method Code,Country_Region Code,Gen_ Bus_ Posting Group,County,CityState,Customer,StateCountry,Post Code,GeoColumn With Address,GeoColumn,State Area Code,State Zone Code,State Location Code,Mkt Segment,On premise/off premise,longitude,latitude,coordinates
0,25NINT,5 NINTH,5 9TH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,25NINT 5 NINTH,"NY, ",10014,5 9TH AVENUE NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
1,2ACCAP,ACCAPELLA RESTAURANT,1 HUDSON STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ACCAP ACCAPELLA RESTAURANT,"NY, ",10013,1 HUDSON STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
2,2ACRE,HUNDRED ACRES,38 MACDOUGAL STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ACRE HUNDRED ACRES,"NY, ",10012,38 MACDOUGAL STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
3,2ADRIA,ADRIA WINE BAR,26 PRINCE STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ADRIA ADRIA WINE BAR,"NY, ",10012,26 PRINCE STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
4,2ALISO,ALISON ON DOMINICK ST,38 DOMINICK ST.,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ALISO ALISON ON DOMINICK ST,"NY, ",10013,38 DOMINICK ST. NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
5,2ANDRE,DA ANDREA DO NOT USE IT,557 HUDSON STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANDRE DA ANDREA DO NOT USE IT,"NY, ",10014,557 HUDSON STREET NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
6,2ANF,ANFORA,34 8TH AVENUE,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANF ANFORA,"NY, ",10014,34 8TH AVENUE NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
7,2ANGEL,ANGELINA'S @ THE LOUNGE,164 MERCER STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANGEL ANGELINA'S @ THE LOUNGE,"NY, ",10012,164 MERCER STREET NEW YORK NY  10012 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,SOHO,Metro,On premise,-73.9983,40.7255,"[-73.9983, 40.7255]"
8,2ANNI,ANNISA,13 BARROW ST,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANNI ANNISA,"NY, ",10014,13 BARROW ST NEW YORK NY  10014 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,GREENWICH VILLAGE,Metro,On premise,-74.0054,40.7339,"[-74.0054, 40.7339]"
9,2ANTIQ,ANTIQUE GARAGE,41 MERCER STREET,NEW YORK,2NYRESTAUR,XX,FLEETWOOD,,NYRES,NY,NEW YORK NY,2ANTIQ ANTIQUE GARAGE,"NY, ",10013,41 MERCER STREET NEW YORK NY  10013 ,NEW YORK NY  ,MANHATTAN,DOWNTOWN,TRIBECCA,Metro,On premise,-74.0025,40.7185,"[-74.0025, 40.7185]"
