,No,Sell to Customer No,Ship-to Code,Ship-to County,Posting Date,Customer Posting Group,Salesperson Code,Gen Bus Posting Group,Order Type ID,Is DI Drop Ship,Clean Ship-to County
0,SCM+026798,1WALKE,DEFAULT,MA,2010-01-05 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
1,SCM+026804,1WALKE,DEFAULT,MA,2010-01-05 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
2,SCM+026805,1WALKE,DEFAULT,MA,2010-01-05 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
3,SCM+026806,1WALKE,DEFAULT,MA,2010-01-05 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
4,SCM+026807,1WALKE,DEFAULT,MA,2010-01-05 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
5,SCM+026808,1WALKE,DEFAULT,MA,2010-01-05 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
6,SCM+026809,1WALKE,DEFAULT,MA,2010-01-05 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
7,SCM+026906,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
8,SCM+026907,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
9,SCM+026908,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
10,SCM+026909,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
11,SCM+026910,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
12,SCM+026911,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
13,SCM+026912,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
14,SCM+026913,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
15,SCM+026914,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
16,SCM+026915,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
17,SCM+026916,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
18,SCM+026917,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
19,SCM+026918,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
20,SCM+026919,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
21,SCM+026920,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
22,SCM+026921,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
23,SCM+026922,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
24,SCM+026923,1WALKE,DEFAULT,MA,2010-01-11 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
25,SCM+027050,1WALKE,DEFAULT,MA,2010-01-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
26,SCM+027205,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
27,SCM+027206,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
28,SCM+027207,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
29,SCM+027208,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
30,SCM+027209,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
31,SCM+027210,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
32,SCM+027211,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
33,SCM+027212,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
34,SCM+027213,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
35,SCM+027214,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
36,SCM+027215,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
37,SCM+027216,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
38,SCM+027217,1WALKE,DEFAULT,MA,2010-02-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
39,SCM+027232,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
40,SCM+027233,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
41,SCM+027234,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
42,SCM+027235,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
43,SCM+027236,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
44,SCM+027237,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
45,SCM+027238,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
46,SCM+027239,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
47,SCM+027240,1WALKE,DEFAULT,MA,2010-02-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
48,SCM+027550,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
49,SCM+027551,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
50,SCM+027552,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
51,SCM+027553,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
52,SCM+027554,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
53,SCM+027555,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
54,SCM+027556,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
55,SCM+027557,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
56,SCM+027558,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
57,SCM+027559,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
58,SCM+027560,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
59,SCM+027561,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
60,SCM+027562,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
61,SCM+027563,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
62,SCM+027564,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
63,SCM+027565,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
64,SCM+027566,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
65,SCM+027567,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
66,SCM+027568,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
67,SCM+027569,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
68,SCM+027570,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
69,SCM+027571,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
70,SCM+027572,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
71,SCM+027573,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
72,SCM+027574,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
73,SCM+027575,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
74,SCM+027576,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
75,SCM+027577,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
76,SCM+027578,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
77,SCM+027579,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
78,SCM+027580,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
79,SCM+027596,1WALKE,DEFAULT,MA,2010-03-16 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
80,SCM+027597,1WALKE,DEFAULT,MA,2010-03-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
81,SCM+027598,1WALKE,DEFAULT,MA,2010-03-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
82,SCM+027599,1WALKE,DEFAULT,MA,2010-03-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
83,SCM+027600,1WALKE,DEFAULT,MA,2010-03-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
84,SCM+027603,1WALKE,DEFAULT,MA,2010-03-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
85,SCM+027935,1WALKE,DEFAULT,MA,2010-04-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
86,SCM+027936,1WALKE,DEFAULT,MA,2010-04-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
87,SCM+027937,1WALKE,DEFAULT,MA,2010-04-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
88,SCM+027938,1WALKE,DEFAULT,MA,2010-04-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
89,SCM+027939,1WALKE,DEFAULT,MA,2010-04-08 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
