,component_1_scaled,component_2_scaled,cluster_group,component_1,component_2,latitude,longitude,Sales Amount (Actual),Distributors,Off premise,On premise,Others,No_
0,0.11759424481158641,-0.21573746040529995,1,96873.47427534813,-1.0526281168659524,40.7185,-74.0025,184702.69,0,0,1,0,2ACCAP
1,-0.10453241867462493,-0.16388772425908157,1,-86113.21572446938,-0.799642427607095,40.7255,-73.9983,1716.0,0,0,1,0,2ACRE
2,-0.10436247334750916,-0.16245568658633772,1,-85973.21572446136,-0.7926552167819118,40.7339,-74.0054,1856.0,0,0,1,0,2ANF
3,-0.1053044560177527,-0.16223221891149264,1,-86749.21572446026,-0.7915648713346692,40.7339,-74.0054,1080.0,0,0,1,0,2ANNI
4,-0.10627557217268613,-0.16730377748325656,1,-87549.21572449469,-0.8163100645845666,40.7262,-73.9796,280.0,0,0,1,0,2APAR
5,-0.08514165685183707,-0.16764218011835502,1,-70139.21572447821,-0.8179612017021398,40.7185,-74.0025,17690.0,0,0,1,0,2ARGEN
6,-0.09978608846758816,-0.16416806410129442,1,-82203.21572446614,-0.8010102642342466,40.7185,-74.0025,5626.0,0,0,1,0,2BALLA
7,-0.10276984285348968,-0.16372384670197093,1,-84661.21572446366,-0.7988428347871281,40.7101,-74.0013,3168.0,0,0,1,0,2BARM
8,-0.09045754668371749,-0.16722672296553498,1,-74518.41572448121,-0.8159340995030601,40.7255,-73.9983,13310.8,0,0,1,0,2BAROL
9,-0.102828109822792,-0.1642920394852059,1,-84709.21572447092,-0.8016151660193112,40.7255,-73.9983,3120.0,0,0,1,0,2BB
10,-0.10558607970267259,-0.16279212524771947,1,-86981.21572446133,-0.7942967712616291,40.7185,-74.0025,848.0,0,0,1,0,2BD
11,-0.10618614451377238,-0.16732499251367108,1,-87475.54572449456,-0.8164135771478115,40.7262,-73.9796,353.67,0,0,1,0,2BEAG
12,-0.0886585540067737,-0.16680786240245635,1,-73036.4157244754,-0.813890391354672,40.7185,-74.0025,14792.8,0,0,1,0,2BREAD
13,-0.08687267139792981,-0.16723152946846292,1,-71565.2157244769,-0.8159575514344782,40.7185,-74.0025,16264.0,0,0,1,0,2BSHI
14,-0.10603279313392226,-0.16268615088645624,1,-87349.21572446096,-0.7937797002248096,40.7185,-74.0025,480.0,0,0,1,0,2BUBBL
15,-0.10593568151844344,-0.1632573834872755,1,-87269.21572446947,-0.7965668633617223,40.7402,-73.9996,560.0,0,0,1,0,2CANA
16,-0.10499369884819813,-0.16377829421212556,1,-86493.21572446912,-0.7991084955582082,40.7255,-73.9983,1336.0,0,0,1,0,2CATA
17,-0.06426380058319614,-0.17529273618170793,1,-52940.155724516975,-0.8552898622269056,40.7313,-73.9892,34889.06,0,0,1,0,2CELL
18,-0.07338750969208842,-0.17127626824530529,1,-60456.215724495414,-0.835692676497523,40.7255,-73.9983,27373.0,0,0,1,0,2CERA
19,-0.10539185647172024,-0.16553587832186986,1,-86821.21572448274,-0.807684115425977,40.7313,-73.9892,1008.0,0,0,1,0,2CHIN
20,-0.07353439101050677,-0.17039578566835456,1,-60577.215724487985,-0.831396618153424,40.7185,-74.0025,27252.0,0,0,1,0,2CINQ
