,latitude,longitude,Sales Amount (Actual),Distributors,Off premise,On premise,Others,cluster_group
1,40.7185,-74.0025,12.12650273023937,0,0,1,0,3
2,40.7255,-73.9983,7.447751280047908,0,0,1,0,0
6,40.7339,-74.0054,7.526178913346146,0,0,1,0,0
8,40.7339,-74.0054,6.984716320118266,0,0,1,0,0
11,40.7262,-73.9796,5.634789603169249,0,0,1,0,0
12,40.7185,-74.0025,9.780754787153832,0,0,1,0,3
18,40.7185,-74.0025,8.635153989049803,0,0,1,0,0
19,40.7101,-74.0013,8.060855752934316,0,0,1,0,0
20,40.7255,-73.9983,9.496331014766985,0,0,1,0,3
24,40.7255,-73.9983,8.045588280803528,0,0,1,0,0
25,40.7185,-74.0025,6.742880635791903,0,0,1,0,0
26,40.7262,-73.9796,5.868364274972146,0,0,1,0,0
36,40.7185,-74.0025,9.601895854892776,0,0,1,0,3
38,40.7185,-74.0025,9.696709355308183,0,0,1,0,3
39,40.7185,-74.0025,6.173786103901937,0,0,1,0,0
42,40.7402,-73.9996,6.327936783729195,0,0,1,0,0
45,40.7255,-73.9983,7.197435354096591,0,0,1,0,0
46,40.7313,-73.9892,10.459928592000743,0,0,1,0,3
48,40.7255,-73.9983,10.217312405089107,0,0,1,0,3
51,40.7313,-73.9892,6.915723448631314,0,0,1,0,0
53,40.7185,-74.0025,10.21288219189356,0,0,1,0,3
54,40.7255,-73.9983,5.774986233662533,0,0,1,0,0
55,40.7313,-73.9892,10.36266087010912,0,0,1,0,3
56,40.7339,-74.0054,10.150465201680888,0,0,1,0,3
57,40.7255,-73.9983,10.076401664421002,0,0,1,0,3
58,40.7402,-73.9996,11.34263524055982,0,0,1,0,3
65,40.7339,-74.0054,10.256044027211113,0,0,1,0,3
67,40.7339,-74.0054,6.612309815912522,0,0,1,0,0
70,40.7313,-73.9892,8.722580021141189,0,0,1,0,0
71,40.7262,-73.9796,9.259923554956396,0,0,1,0,3
72,40.7185,-74.0025,6.704414354964107,0,0,1,0,0
73,40.7484,-73.9967,10.453563696703467,0,0,1,0,3
74,40.7339,-74.0054,7.560080465021827,0,0,1,0,0
78,40.7255,-73.9983,8.066647031867435,0,0,1,0,0
79,40.7402,-73.9996,10.9856145355074,0,0,1,0,3
81,40.7262,-73.9796,7.142036574706803,0,0,1,0,0
82,40.7255,-73.9983,4.741447804280639,0,0,1,0,0
86,40.7185,-74.0025,9.874789679588583,0,0,1,0,3
87,40.7255,-73.9983,9.66218512223098,0,0,1,0,3
88,40.7255,-73.9983,11.282562163870812,0,0,1,0,3
89,40.7152,-73.9877,9.225228984469933,0,0,1,0,3
91,40.7339,-74.0054,10.46612733501629,0,0,1,0,3
94,40.7402,-73.9996,7.649373525185947,0,0,1,0,0
96,40.7313,-73.9892,10.549071316164463,0,0,1,0,3
108,40.7185,-74.0025,9.574379831179218,0,0,1,0,3
109,40.7339,-74.0054,10.030296399399823,0,0,1,0,3
112,40.7262,-73.9796,9.009202900924588,0,0,1,0,3
113,40.7255,-73.9983,8.014335737299424,0,0,1,0,0
115,40.7101,-74.0013,7.764720544771477,0,0,1,0,0
118,40.7255,-73.9983,9.607719543500917,0,0,1,0,3
119,40.7313,-73.9892,9.982520981828776,0,0,1,0,3
120,40.7339,-74.0054,9.259701801513907,0,0,1,0,3
125,40.7152,-73.9877,8.177515823846075,0,0,1,0,0
133,40.7339,-74.0054,7.539027055823995,0,0,1,0,0
135,40.7402,-73.9996,8.671115273688494,0,0,1,0,0
136,40.7313,-73.9892,8.089077484387923,0,0,1,0,0
137,40.7484,-73.9967,6.802394763324311,0,0,1,0,0
144,40.7139,-74.007,7.73718007783463,0,0,1,0,0
145,40.7313,-73.9892,7.588829878307813,0,0,1,0,0
